api_nro,tipo,institucion,localidad,provincia,domicilio,cp,telefono,email,lat,lon
1405,MAY,Consejo Provincial de Adultos Mayores,Puerto Barranqueras,Chaco,Sargento Cabral ,3503,(0362) 154684173,,-27.4823,-58.933411
1406,MAY,Consejo Provincial de Adultos Mayores,Resistencia,Chaco,San Roque 25,H3506EJA,(0362) 4428319,,-27.444832,-58.995438
1407,MAY,Consejo Provincial de Adultos Mayores,Rawson,Chubut,9 de Julio 280,U9103CRP,(0280) 4485720 / 21,privada.desarrollohumano@chubut.gov.ar ,-43.295949,-65.105604
1408,MAY,Consejo Provincial de Adultos Mayores,Esquel,Chubut,Antartida Argentina  443,U9200AVE,(02945) 4452581,privada.desarrollohumano@chubut.gov.ar ,-42.920885,-71.326321
1409,MAY,Consejo Provincial de Adultos Mayores,Comodoro Rivadavia,Chubut,Olavarría 778,U9003EXP,(0297) 4452621,privada.desarrollohumano@chubut.gov.ar ,-45.877363,-67.527954
1410,MAY,Consejo Provincial de Adultos Mayores,Córdoba,Córdoba,Av. Velez Sarfield 2311,X5016GCH,(0351) 4688528 / 4688544,,-31.445168,-64.198268
1411,MAY,Consejo Provincial de Adultos Mayores,Córdoba,Córdoba,9 de Julio 1701 of. 265,X5003CQC,(0351) 4896087,cesarfranchisena@hotmail.com; fllugones@yahoo.es,-31.408099,-64.206634
1412,MAY,Consejo Provincial de Adultos Mayores,Córdoba,Córdoba,Barrio Panamericano,X5000ZAA,(0351) 4738441,Cristina.Dennler@cba.gob.ar,-31.39893,-64.182129
1413,MAY,Consejo Provincial de Adultos Mayores,Córdoba,Córdoba,Av. Gral Paz 300,X5000JLP,(0351) 156183120,Cristina.Dennler@cba.gob.ar,-31.411741,-64.185543
1414,MAY,Consejo Provincial de Adultos Mayores,Corrientes,Corrientes,Murcia 59,W3404EUA,(0379) 154250538,divbressan@hotmail.com;  minoridadflia_ctes@hotmail.com,-27.45674,-58.78701
1415,MAY,Consejo Provincial de Adultos Mayores,Paraná,Entre Ríos,San Juan 173,E3100AFC,(0343) 4233159,dic@entrerios.gov.ar,-31.731592,-60.52704
1416,MAY,Consejo Provincial de Adultos Mayores,Paraná,Entre Ríos,Gobernador Febre y Gobernador Mansilla,E3100ZAA,(0343) 4262232,centrojubiladoscorrales@argentina.com,-31.757857,-60.49392
1417,MAY,Consejo Provincial de Adultos Mayores,Concordia,Entre Ríos,Tala y Rca. Del Paraguay,E3200ZAA,(0343) 156251130,lopezmarianieves@hotmail.com / consumidorconcordia@yahoo.com.ar,-31.391848,-58.01706
1418,MAY,Consejo Provincial de Adultos Mayores,Formosa,Formosa,Paraguay 50,P3600ZAA,(0370) 4435219,,-26.189515,-58.16237
1419,MAY,Consejo Provincial de Adultos Mayores,Formosa,Formosa,B. Mitre 143,P3600ZAA,(0370) 4435219,,-26.177269,-58.173631
1420,MAY,Consejo Provincial de Adultos Mayores,San Salvador de Jujuy,Jujuy,General Paz 453,4600,(0388) 4235080 / 4249590,eldapaoloni@uahoo.com.ar,-24.183911,-65.312738
1421,MAY,Consejo Provincial de Adultos Mayores,San Salvador de Jujuy,Jujuy,Senador Pérez 649,Y4600EEM,(0388) 4237924,eldapaoloni@uahoo.com.ar,-24.181208,-65.308525
1422,MAY,Consejo Provincial de Adultos Mayores,San Salvador de Jujuy,Jujuy,General Paz 453,4600,(0388) 4235080 / 4783167,hele.peralta@hotmail.com,-24.183911,-65.312738
1423,MAY,Consejo Provincial de Adultos Mayores,Santa Rosa,La Pampa,Bartolomé Mitre 143,L6300DSC,(02954) 424279 / 455385,lore_subelet@hotmail.com,-36.618275,-64.291221
1424,MAY,Consejo Provincial de Adultos Mayores,Ingeniero Luiggi,La Pampa,Belgrano 631 ,L6205ZAA,(02335) 472115,mardoglioli@hotmail.com,-35.656952,-63.754547
1425,MAY,Consejo Provincial de Adultos Mayores,Santa Rosa,La Pampa,Chubut 128,L6300XAI,(02953) 498397,ramon_a_rossi@hotmail.com,-36.624546,-64.271072
1426,MAY,Consejo Provincial de Adultos Mayores,Santa Rosa,La Pampa,Pellegrini 285,L6300XAI,(02954) 433501 / 433974,nviola@secgral.isslp.gov.ar,-36.619753,-64.292461
1427,MAY,Consejo Provincial de Adultos Mayores,La Rioja,La Rioja,Ortiz de Ocampo 1700,F5300DTQ,(0380) 4453680,mfmurganti@hotmail.com,-29.429768,-66.860089
1428,MAY,Consejo Provincial de Adultos Mayores,La Rioja,La Rioja,Lamadrid 57,F5300GOA,(0380) 4463354,cristinapalomeque@hotmail.com,-29.411912,-66.853949
1429,MAY,Consejo Provincial de Adultos Mayores,Mendoza,Mendoza,Patricias Mendocinas 973,M5500EAI,(0261) 4204968,mcaratti@mendoza.gov.ar,-32.891286,-68.843553
1430,MAY,Consejo Provincial de Adultos Mayores,Rivadavia,Mendoza,José Hernandez 180,M5577CXD,(0263) 4443123,ccalley@hotmail.com,-32.871901,-68.848185
1431,MAY,Consejo Provincial de Adultos Mayores,Las Heras,Mendoza,Santiago del Estero 1048,M5540ZAA,(0261) 4376549,ggustavo@hotmail.com.ar,-32.871232,-68.821363
1432,MAY,Consejo Provincial de Adultos Mayores,Posadas,Misiones,"Chacra 172 - Centro Civico - Edificio 2, 1 Piso",N3300ZAA,(0376) 4447243 / 4447205,marinapelinski@yahoo.com.ar,-27.362137,-55.900875
1433,MAY,Consejo Provincial de Adultos Mayores,Posadas,Misiones,Acevedo 770,N3300ZAA,(03764) 461260,catalanojnorma@hotmail.com,-27.366142,-55.924078
1434,MAY,Consejo Provincial de Adultos Mayores,Posadas,Misiones,Santa Fe 1255,N3300HYC,(0376) 4447247,sara_pety@hotmail.com,-27.364835,-55.887675
1435,MAY,Consejo Provincial de Adultos Mayores,Posadas,Misiones,Mburucuya y Yerbal,N3300ZAA,(0376) 4447247,sara_pety@hotmail.com,-27.385601,-55.899124
1436,MAY,Consejo Provincial de Adultos Mayores,Neuquén,Neuquén,Teodoro Planas 1835,Q8300ZAA,(0299) 4493800,dokstein@hotmail.com,-38.959266,-68.084771
1437,MAY,Consejo Provincial de Adultos Mayores,Neuquén,Neuquén,Av. Argentina 175 T3 2ª P Depto. A,Q8300AYB,(0299) 4493800,mabelbullio@hotmail.com,-38.953317,-68.058869
1438,MAY,Consejo Provincial de Adultos Mayores,Neuquén,Neuquén,C. Namuncura,Q8300ZAA,(0299) 4493800,,-38.96365,-68.074615
1439,MAY,Consejo Provincial de Adultos Mayores,Neuquén,Neuquén,Las Violetas 1088,Q8300BSD,(0299) 4433478 / 154048335 / 4426436 (fax PAMI),carlosrecke@yahoo.com.ar  ,-38.94401,-68.051908
1440,MAY,Consejo Provincial de Adultos Mayores,Neuquén,Neuquén,Av. Del Trabajador 923,Q8302LUD,(0299) 4493800,,-38.94692,-68.071993
1441,MAY,Consejo Provincial de Adultos Mayores,Viedma,Río Negro,Buenos Aires y Belgrano,R8500ZAA,(02920) 423940,reginaviedma@yahoo.com,-40.807833,-62.991614
1442,MAY,Consejo Provincial de Adultos Mayores,Viedma,Río Negro,Calle 11 Nº 459 Barrio Lavalle ,R8500ZAA,(02920) 423940,marinercilia@yahoo.com.ar,-40.824669,-63.024198
1443,MAY,Consejo Provincial de Adultos Mayores,Salta ,Salta,General Guemes 565,A4400BEF,(0387) 4227823 / 4319335,adultosmayores@salta.gov.ar,-24.786389,-65.410244
1444,MAY,Consejo Provincial de Adultos Mayores,La Merced,Salta,25 de Mayo esquina Catamarca - La Caldera,K4718ZAC,(0387) 4906198,marcelfuentes67@hotmail.com,-24.966763,-65.489438
1445,MAY,Consejo Provincial de Adultos Mayores,Vaqueros - Dto. La Caldera,Salta,Los Crespones 96,A4401XBA,(0387) 4901321 / 4901017,mtdufau@yahoo.com.ar,-24.611045,-65.383892
1446,MAY,Consejo Provincial de Adultos Mayores,San Juan,San Juan,Mendoza 398 (sur),J5402GUH,(0264) 154439848,sj.adultosmayores@yahoo.com,-31.538992,-68.525753
1447,MAY,Consejo Provincial de Adultos Mayores,San Juan,San Juan,Mendoza 398 (sur),J5402GUH,(0264) 4912062 / 4240097,sj.adultosmayores@yahoo.com,-31.539733,-68.515562
1449,MAY,"Confederación Argentina de Entidades de Jubilados, Retirados y Pensionados Provinciales y Nacionales",San Luis,San Luis,Colón 386 - 1º ,D5700AVH,(0266) 4424693,"claudiasaraspagnuolo@yahoo.com.ar 
afspagnuolo@ahoo.com.ar",-33.306777,-66.333522
1450,MAY,Consejo Provincial de Adultos Mayores,San Luis,San Luis,Ayacucho 945 - Piso 3,D5700IVS,(0266) 4452000 (interno 1371) / 1372,desarrolloyproteccionsocial@yahoo.com.ar,-33.305726,-66.335814
1451,MAY,Consejo Provincial de Adultos Mayores,Río Gallegos,Santa Cruz,Salta 75,Z9400GSA,(02966) 426173,dapamzc@hotmail.com,-51.625702,-69.20904
1452,MAY,Consejo Provincial de Adultos Mayores,Río Gallegos,Santa Cruz,Upsala 28,Z9400DYB,(02966) 421279,dapamzc@hotmail.com,-51.642077,-69.231907
1453,MAY,Consejo Provincial de Adultos Mayores,Río Gallegos,Santa Cruz,Ramón y Cajal 2239,Z9402DPC,(02966) 15612714,dapamzc@hotmail.com,-51.637446,-69.195765
1454,MAY,Consejo Provincial de Adultos Mayores,Santa Fé,Santa Fé,Salta 3211,S3000CMQ,(0342) 4571959,dpreziuso@santafe.gov.ar / dipreziuso@yahoo.com.ar,-31.648654,-60.715754
1455,MAY,Consejo Provincial de Adultos Mayores,Santa Fé,Santa Fé,Santiago del Estero 3558,S3000APB,(0342) 4563148,jubiladosypensionados@arnet.com.ar,-31.635125,-60.716668
1456,MAY,Consejo Provincial de Adultos Mayores,Venado Tuerto,Santa Fé,Corrientes 3409,S2600ZAA,(0342) 4597637,dvirela@arnet.com.ar,-33.739107,-61.954946
1457,MAY,Consejo Provincial de Adultos Mayores,Santiago del Estero,Santiago del Estero,Av. Belgrano 2050,G4200ABU,(0385) 4223737,rgb_9@hotmail.com.ar,-27.803478,-64.250953
1458,MAY,Consejo Provincial de Adultos Mayores,La Banda,Santiago del Estero,27 de Abril 367,G4300DZG,(0385) 4274065,areaadultosmayoressantiago@yahoo.com.ar,-27.733285,-64.230694
1459,MAY,Consejo Provincial de Adultos Mayores,Santiago del Estero,Santiago del Estero,Sarmiento 377 Barrio Centro,G4200DDG,(0385) 4223737,areaadultosmayoressantiago@yahoo.com.ar,-27.79169,-64.264767
1460,MAY,Consejo Provincial de Adultos Mayores,Ushuaia,Tierra del Fuego,"60 viviendas, Tira 4, Caso 28",V9410ZAA,(02901) 435672,lcazon@tdf.com.ar,-54.791679,-68.229248
1461,MAY,Consejo Provincial de Adultos Mayores,Ushuaia,Tierra del Fuego,Magallanes 825,V9410ZAA,(02901) 432104,centrojubiladosakainik@hotmail.com,-54.804408,-68.311952
1462,MAY,Consejo Provincial de Adultos Mayores,Ushuaia,Tierra del Fuego,Río Grande 133,V9410ZAA,(02901) 434275,kaupen2003@hotmail.com / mama0102@hotmail.com,-54.818165,-68.332117
1463,MAY,Consejo Provincial de Adultos Mayores,San Miguel de Tucumán,Tucumán,Lamadrid 534 ,T4000BEL,(0381) 4207287,ainessanchez@yahoo.com / jovenes.am@gmail.com,-26.832789,-65.230135
1464,MAY,Consejo Provincial de Adultos Mayores,San Miguel de Tucumán,Tucumán,Lucas Cordoba 390,T4000JKH,(0381) 4234217,juventud.am@gmail.com,-26.822151,-65.220021
1465,IM,APENOC,Serrezuela,Córdoba,Calle Pública S/N,X5270ZAA,(03549) 495076,apenoc@gmail.com,-30.639915,-65.387283
1466,IM,Asociación de Fomento y Desarrollo Astica Red Andina San Juan,Astica,San Juan,Av. Zuleta S/N,J5681ZAA,(0264) 6492010,efectoressanjuan@yahoo.com.ar,-30.932011,-67.384651
1467,IM,Asociación Mutual de los Trabajadores de las Telecomunicaciones  Encote y de Radiodifusión,San Salvador de Jujuy,Jujuy,Av. El Exodo N° 125 - B° Luján ,Y4607ATB,(0388) 4230687,,-24.195788,-65.296508
1468,IM,Asociacion Civil Centro de Estudios para la Nueva Esperanza,La Plata,Buenos Aires,Calle 43  Nº 467,B1902ADS,(0221) 4896360,nueva.argentina2@gmail.com,-34.907337,-57.953741
1469,IM,Asociación Mutual 23 de Agosto,San Salvador de Jujuy,Jujuy,Chañi N° 657 - Barrio Luján,Y4607GTA,(0388) 4240369,,-24.197225,-65.295172
1470,IM,Asociación Mutual de Profesionales de la Administración Pública de Jujuy,San Salvador de Jujuy,Jujuy,Necochea  508,Y4600EBL,(0388) 4226116,ampuapjujuy@hotmail.com,-24.182883,-65.304327
1471,IM,Asociación Mutual PRIMAVERA,José C. Paz,Buenos Aires,Nueva Granada  559,B1666LKK,(011) 4978-1995,mutualprimavera@yahoo.com.ar,-34.53067,-58.795304
1472,IM,Centro de Promoción Comunitario y Biblioteca Popular Eva Perón,Villa Santos Tesei,Buenos Aires,Ciudadela 5073,B1688ZAA,(011) 4452-0608,kliliangladysromero@hotmail.com,-34.621138,-58.660192
1473,IM,Centro Mutual de Jubilados y Pensionados de Palpalá,Palpalá,Jujuy,República de la India N° 176 - B° Gral. San Martín,Y4612XAI,(0388) 4274216,,-24.253365,-65.206994
1474,IM,Centro de Promoción Comunitaria y Biblioteca Popular Nueva Esperanza,Hurlingham,Buenos Aires,Forest 2741,B1686ZAB,(011) 4665-9445,nuevaesperanza3@hotmail.com,-34.596401,-58.651416
1475,IM,Cooperadora del Centro de Salud Barrio Coronel Arias,San Salvador de Jujuy,Jujuy,Monteagudo S/N,4600,,vilartur@hotmail.com,-34.596401,-65.285633
1476,IM,Federación de Cooperativa de Agua Potable y Saneamiento de Bs As,La Plata,Buenos Aires,Calle 14 Nº 476,B1906EVJ,(0221) 4223795,fedecap@speedy.com.ar,-34.915239,-57.965363
1477,IM,Fundación AYUDANDONOS,Santa Rosa,La Pampa,Cervantes 608,L6300DNN,(02954) 456026,fundacionayudandonos@yahoo.com.ar,-36.623243,-64.297719
1479,IM,Mutual de Ex Empleados de Agua y Energía Eléctrica y otras Actividades,San Salvador de Jujuy,Jujuy,Senador Pérez 573,Y4600EEM,(0388) 4223238,mutual@ayee.com.ar,-24.182246,-65.308529
1480,IM,Sociedad de Fomento 12 DE OCTUBRE,General San Martín,Buenos Aires,Industria  5036,B1650MSP,(011) 4764-3260,davidnalvarez@hotmail.com,-34.562539,-58.559719
1481,CDR,Centro de Referencia,Luján,Buenos Aires,Lavalle 750,B6700ANR, (02323) 434111 / 431908,centrodearticulacionlujan@gmail.com ,-34.565556,-59.111133
1482,CAL,Centro de Atención Local,Lomas de Zamora 2,Buenos Aires,Av. Pte. Perón 1943/5  ,B1832EYG,(011) 4282-7893  / 7923,,-34.763173,-58.430907
1483,CAL,Centro de Atención Local,Laferrere,Buenos Aires,Pedro Miguel Obligado 2986 ,B1757JVB,(011) 4457-0071  /  4626-6490,,-34.746113,-58.5883
1484,EMC,Emprendimiento TUPAC AMARU,San Salvador de Jujuy,Jujuy,Alvear 1152,,,,-24.184401,-65.309044
1485,EMC,Emprendimiento MUSPAY,Salta,Salta,Mar Blanco 146 Barrio San Remo,,,sutelar@hotmail.com,-24.829515,-65.422195
1486,EMC,Emprendimiento CADEJOS Y COLORES,Tafí del Valle,Tucumán,Ruta 307 Km. 61,,,fiorinagatti@yahoo.com.ar,-26.740649,-65.775286
1487,EMC,Emprendimiento GATTI TALLER ARTESANAL,Yerba Buena,Tucumán,Lamadrid 1300,,,fiorinagatti@yahoo.com.ar,-26.82092,-65.289698
1488,EMC,Emprendimiento COOPERRATIVA DE TRABAJO ESPERANZA LTDA.,Villa José León Suárez,Buenos Aires,Madero 9280,,,cooperativatextilesperanza@gmail.com,-34.513838,-58.582536
1489,CIC,Centro Integrador Comunitario,El Algarrobal,Mendoza,Moisés Turbiner y Mosconi,M5666ZAA,,,-32.816667,-68.766667
1490,CIC,Centro Integrador Comunitario,Salsacate,Córdoba,Calle Fuerza Áerea S/N esquina Calle Pública S/N,X5295ZAA,,,-31.317945,-65.088379
1491,CIC,Centro Integrador Comunitario,Ambul,Córdoba,Calles Libertad y 25 de Mayo,X5299ZAA,,,-31.48333,-65.050011
1492,CIC,Centro Integrador Comunitario,El Arañado,Córdoba,Calle San Luis y Córdoba,X5947ZAA,,,-31.74165,-62.890755
1493,CIC,Centro Integrador Comunitario,San Carlos Minas,Córdoba,Fray Carlos Murias esquina Román Pereyra,X5291ZAA,,,-31.183354,-65.082836
1494,CIC,Centro Integrador Comunitario,San Marcos Sierra,Córdoba,Vélez Sarsfield y Rivadavia,X5282ZAA,,,-30.783499,-64.634453
1495,CIC,Centro Integrador Comunitario,San Pedro,Córdoba,Juan Pablo II y Belgrano,2421,,,-31.76667,-64.633331
1496,CIC,Centro Integrador Comunitario,Villa de Soto ,Córdoba,"Calle 01, Sección 01, Manzana 02",X5284ZAB,,,-30.851919,-65.004982
1497,CIC,Centro Integrador Comunitario,Villa Huidobro,Córdoba,Peluffo y Saavedra,X6275ZAA,,,-34.832149,-64.58313
1498,CIC,Centro Integrador Comunitario,Chajarí ,Entre Ríos,Cepeda y Moreno,E3228ZAA,,,-30.757275,-57.991619
1499,CIC,Centro Integrador Comunitario,Crespo,Entre Ríos,Güemes y Los Reseros,E3116ZAA,,,-32.031456,-60.305817
1500,CIC,Centro Integrador Comunitario,Diamante,Entre Ríos,Calle Alem y Entre Ríos,E3105ZAA,,,-32.06971,-60.637871
1501,CIC,Centro Integrador Comunitario,La Paz,Entre Ríos,Moreno y Echagüe,E3190ZAA,,,-30.75897,-59.639278
1502,CIC,Centro Integrador Comunitario,Oro Verde,Entre Ríos,Los Chañares y Las Golondrinas,3100,,,-31.824707,-60.517376
1503,CIC,Centro Integrador Comunitario,Paraná,Entre Ríos,Blas Paraná ,3100,,,-31.74132,-60.511547
1504,CIC,Centro Integrador Comunitario,Rosario del Tala,Entre Ríos,Tierra del Fuego y Catamarca,E3174ZAA,,,-32.302673,-59.141678
1505,CIC,Centro Integrador Comunitario,San José Feliciano,Entre Ríos,Villaguay y Centroamérica,E3187ZAA,,,-30.38269,-58.74939
1506,CIC,Centro Integrador Comunitario,Villa del Rosario,Entre Ríos,Av. 25 de Mayo y Sepeda,3229,,,-30.796152,-57.912548
1507,CIC,Centro Integrador Comunitario,Villa Paranacito,Entre Ríos,Av. J. L. Chorroarín S/N,E2823ZAA,,,-33.715956,-58.658008
1508,CIC,Centro Integrador Comunitario,Los Charrúas ,Entre Ríos,Andrade S/N,E3202ZAB,,,-31.16667,-58.18333
1509,CIC,Centro Integrador Comunitario,Conscripto Bernardi ,Entre Ríos,San Juan S/N,3188,,,-31.047359,-59.089958
1510,CIC,Centro Integrador Comunitario,Ceibas ,Entre Ríos,Calle Pública S/N,E2823ZAA,,,-33.498058,-58.79636
1511,CIC,Centro Integrador Comunitario,María Grande,Entre Ríos,Presidente Perón y Gaucho Calandria,E3133ZAA,,,-31.662302,-59.898071
1512,CIC,Centro Integrador Comunitario,Colonia Avigdor ,Entre Ríos,Calle Pública Nº 3 S/N,E3142ZAA,,,-31.18333,-59.416672
1513,CIC,Centro Integrador Comunitario,Pueblo Brugo ,Entre Ríos,Cnel. Antello S/N,3125,,,-31.387367,-60.09206
1514,CIC,Centro Integrador Comunitario,Granadero Baigorria,Santa Fé,Junín entre Matacos y Culfulcurá,S2152ZAA,,,-32.853522,-60.720105
1515,CIC,Centro Integrador Comunitario,Humboldt,Santa Fé,Mariano Moreno S/N,S3081ZAA,,,-31.400878,-61.082348
1516,CIC,Centro Integrador Comunitario,Las Toscas,Santa Fé,Calle 3 esquina Calle 6,S3586ZAA,,,-28.355147,-59.259439
1517,CIC,Centro Integrador Comunitario,Pérez,Santa Fé,El Aguaribay y Hudson,S2121ZAA,,,-32.998855,-60.769908
1518,CIC,Centro Integrador Comunitario,Santo Tomé,Santa Fé,Falucho 4100 entre Laprade y Zavalla,S3016LEP,,,-31.687966,-60.759459
1519,CIC,Centro Integrador Comunitario,Villa Ana ,Santa Fé,"Lotes rte-ayd, Parcela 1",,,,-28.48822,-59.609161
1520,CIC,Centro Integrador Comunitario,Colonia Benítez,Chaco,Zona Urbana S/N,H3505ZAB,,,-27.333333,-58.933333
1521,CIC,Centro Integrador Comunitario,Coronel Du Graty,Chaco,Zona Urbana S/N,H3541ZAA,,,-27.685371,-60.908607
1522,CIC,Centro Integrador Comunitario,Makalle,Chaco,Güemes S/N,H3528ZAA,,,-27.208054,-59.288273
1523,CIC,Centro Integrador Comunitario,Pampa del Indio,Chaco,Calle sin nombre,H3531ZAA,,,-26.049177,-59.942371
1524,CIC,Centro Integrador Comunitario,Puerto Tirol,Chaco,Calle S/N,H3521ZAA,,,-27.380678,-59.085751
1525,CIC,Centro Integrador Comunitario,Chavarría ,Corrientes,Zona Rural,W3474ZAA,,,-28.954885,-58.574455
1526,CIC,Centro Integrador Comunitario,Empedrado ,Corrientes,  El Sombrero,W3418ZAA,,,-27.951714,-58.804085
1527,CIC,Centro Integrador Comunitario,Garupa,Misiones,Independencia y Calle S/N,,,,-27.483834,-55.829863
1528,CIC,Centro Integrador Comunitario,Azara,Misiones,Ucrania y Mborore,N3351ZAA,,,-28.060578,-55.677496
1529,CIC,Centro Integrador Comunitario,Campo Grande,Misiones,Barrio Aeroclub,N3362ZAA,,,-27.204815,-54.978374
1530,CIC,Centro Integrador Comunitario,Campo Ramón,Misiones,Ex Ruta 103,,,,-27.466669,-55
1531,CIC,Centro Integrador Comunitario,El Alcazar,Misiones,Cristóbal Colón S/N - Barrio San Juan,3386,,,-26.711416,-54.812782
1532,CIC,Centro Integrador Comunitario,Iguazú,Misiones,Junco Antártida Argentina y Jujuy - Barrio Belén,N3370ZAA,,,-25.618462,-54.583769
1533,CIC,Centro Integrador Comunitario,Puerto Esperanza,Misiones,Barrio Villa Nueva,N3378ZAA,,,-26.026524,-54.612606
1534,CIC,Centro Integrador Comunitario,Puerto Rico,Misiones,"Parcela 1 , Manzana 296, Seccion 5 - Barrio San Francisco",N3334ZAA,,,-26.810125,-55.025204
1535,CIC,Centro Integrador Comunitario,San José,Misiones,Sarmiento e/ Av. Queirel e H Irigoyen,N3307ZAA,,,-27.769722,-55.780278
1536,CIC,Centro Integrador Comunitario,Santa Ana,Misiones,Barrio 8 Viviendas,N3316ZAA,,,-27.369284,-55.581918
1537,CIC,Centro Integrador Comunitario,9 de Julio - Km. 20 ,Misiones,Valle Hermoso,,,,-26.386111,-54.466111
1538,CIC,Centro Integrador Comunitario,Andresito,Misiones,Av. Corrientes S/N,,,,-25.671155,-54.048657
1539,CIC,Centro Integrador Comunitario,Candelaria,Misiones,Av. Amalio Díaz 376 - Barrio San Cayetano,N3308ZAA,,,-27.461271,-55.744028
1540,CIC,Centro Integrador Comunitario,Corpus ,Misiones,Lote Agricola 53 A,N3327ZAA,,,-27.129598,-55.511046
1541,CIC,Centro Integrador Comunitario,Estación Apóstoles,Misiones,Los Ceibos esq. Los Chivatos - Lomas del Mirador,N3350ZAA,,,-27.914332,-55.754922
1542,CIC,Centro Integrador Comunitario,Gobernador Roca,Misiones,Paraje Sta. Rosa Lote 47,N3324ZAA,,,-27.185171,-55.463598
1543,CIC,Centro Integrador Comunitario,Puerto Libertad,Misiones,Juan M. de Rosas S/N,N3374ZAA,,,-25.921438,-54.58437
1544,CIC,Centro Integrador Comunitario,Puerto Leoni ,Misiones,Calle sin nombre,,,,-26.983333,-55.166667
1545,CIC,Centro Integrador Comunitario,Puerto Pinares ,Misiones,Av.9 de Julio S/N,,,,-26.416667,-54.683333
1546,CIC,Centro Integrador Comunitario,Los Helechos,Misiones,Ruta Prov. 7 S/N - Paraje Tamandua,,,,-27.534096,-55.085369
1547,CIC,Centro Integrador Comunitario,San Antonio ,Misiones,Paraje 130 S/N,,,,-26.057222,-53.734167
1548,CIC,Centro Integrador Comunitario,San Ignacio ,Misiones,Manzana F 144,N3322ZAC,,,-27.258889,-55.539167
1549,CIC,Centro Integrador Comunitario,Garuhape,Misiones,"Manzana 63, Parcela 1",,,,-26.821196,-54.957785
1550,CIC,Centro Integrador Comunitario,Santo Pipó ,Misiones,San Martín y Ex Ruta 12 - Lote 6,N3322ZAB,,,-27.142222,-55.409444
1551,CIC,Centro Integrador Comunitario,Villa Roulet,Misiones,Las Azucenas S/N - Barrio Oleaginosa,N3380ZAA,,,-26.443611,-54.640278
1552,CIC,Centro Integrador Comunitario,Sauce de Luna ,Entre Ríos,Marsicanso S/N,3144,,,-31.239545,-59.217567
1553,CIC,Centro Integrador Comunitario,Médanos ,Entre Ríos,"Ruta Nacional Nº 12, Km 186",2848,,,-33.421398,-59.09507
1554,CIC,Centro Integrador Comunitario,Ñancay ,Entre Ríos,Ruta Provincial 16,2823,,,-33.394935,-58.73291
1555,CIC,Centro Integrador Comunitario,Rincón de Nogoyá ,Entre Ríos,Ruta 11 a 30 Km de Victoria,3155,,,-32.768642,-59.92506
1556,CIC,Centro Integrador Comunitario,Garuhape,Misiones,"Zona urbana Garuhape, calle pública sin nombre",N3334ZAA,,,-26.821389,-54.9575
1557,CIC,Centro Integrador Comunitario,San Javier,Misiones,Belgrano y 9 de Julio,N3357ZAA,,,-27.871956,-55.138908
1558,CIC,Centro Integrador Comunitario,Berazategui,Buenos Aires,Calle 20 esquina Calle 161 - Barrio Belgrano,,,,-34.759894,-58.192767
1559,CIC,Centro Integrador Comunitario,Cármen de Patagones,Buenos Aires, Sor Vallesse y Domingo de Oro - Barrio Villa Lynch,,,,-40.790546,-62.968124
1560,CIC,Centro Integrador Comunitario,Florencio Varela,Buenos Aires,Cabeza de Vaca y 1° de Mayo - Presidente Avellaneda ,,,,-34.816603,-58.208828
1561,CIC,Centro Integrador Comunitario,Florencio Varela,Buenos Aires,Calle 176 (Caseros) y Calle 141 (Remedios de Escalada) - Santo Tomás,,,,-34.799319,-58.25022
1562,CIC,Centro Integrador Comunitario,Pilar,Buenos Aires,Calles Darregueira y Thames,,,,-34.430698,-58.868179
1563,CIC,Centro Integrador Comunitario,Puán,Buenos Aires,Calles Bolívar y Chaco,,,,-37.548114,-62.768412
1564,CIC,Centro Integrador Comunitario,Pinamar,Buenos Aires,"Guanca, entre El Cano y Solís",,,,-37.137235,-56.906809
1565,CIC,Centro Integrador Comunitario,Balcarce - El Matadero,Buenos Aires,Av.Eva Perón y Calle116 ,,,,-37.846407,-58.255458
1566,CIC,Centro Integrador Comunitario,Arrecifes ,Buenos Aires,"Parcela 2, manzana 106 A - Barrio La Cumbre",,,,-34.061165,-60.103648
1567,CIC,Centro Integrador Comunitario,Cármen de Areco,Buenos Aires,Barrio 3 Sargentos,,,,-34.380669,-59.822327
1568,CIC,Centro Integrador Comunitario,Cármen de Areco,Buenos Aires,Barrio Norte ,,,,-34.374008,-59.820492
1569,CIC,Centro Integrador Comunitario,San Andrés de Giles,Buenos Aires,Rawson y Calle 51,,,,-34.45503,-59.429791
1570,EMC,Emprendimiento HA VISTO COMO VISTO,Ituzaingó,Buenos Aires,Larreta 4008,,,HAVISTOCOMOVISTO@HOTMAIL.COM,-34.617105,-58.700143
1571,CDR,Centro de Referencia,Chascomús,Buenos Aires,Chacabuco 151 (esquina Alvear),B7130ELC,(02241) 426609 / 426536,cachascomus@gmail.com,-35.570854,-58.013619
1572,CFN,Secretaría de Niñez y Adolescencia de la Provincia de Buenos Aires,La Plata,Buenos Aires,Calle116 Nº 1869 entre 70 y 71,B1904CDS,(0221) 4293749 / 3740 / 3742 - Linea 102,secretarianya@gmail.com  deprovincial@yahoo.com.ar,-34.922156,-57.921563
